>> lc_main
Warning: Data clipped when writing file. 
> In audiowrite>clipInputData (line 470)
In audiowrite (line 241)
In rfdlm_embed (line 131)
In lc_main (line 17) 
11007 53 53 106 
11008 53 53 107 
11009 53 53 109 
11010 53 53 105 
11011 53 53 103 
11012 53 53 112 
11013 53 53 105 
11014 53 53 112 
11015 53 53 110 
11016 53 53 111 
11017 53 53 102 
11018 53 53 115 
11019 53 53 106 
11020 53 53 113 
11021 53 53 112 
11022 53 53 110 
11024 53 53 112 
11027 53 53 109 
11030 53 53 109 
11032 53 53 108 
11033 53 53 106 
11034 53 53 109 
11036 53 53 107 
11037 53 53 104 
11038 53 53 107 
11039 53 53 110 
11040 53 53 115 
11041 53 53 108 
11042 53 53 113 
11044 53 53 104 
11045 53 53 109 
11046 53 53 105 
11047 53 53 108 
11049 53 53 100 
11050 53 53 112 
11052 53 53 112 
11053 53 53 114 
11054 53 53 112 
11056 53 53 108 
11057 53 53 111 
11058 53 53 111 
11059 53 53 111 
11061 53 53 103 
11063 53 53 110 
11064 53 53 117 
11065 53 53 110 
11066 53 53 109 
11068 53 53 107 
11069 53 53 110 
11071 53 53 109 
11076 53 53 105 
11077 53 53 105 
11085 53 53 113 
11099 53 53 114 
11125 53 53 104 
11131 53 53 109 
11145 53 53 111 
11160 53 53 110 
11170 53 53 105 
11187 53 53 106 
11188 53 53 105 
12192 45 45 113 
12246 45 45 112 
12260 45 45 114 
12294 45 45 114 
12301 45 45 112 
12311 45 45 109 
12312 45 45 109 
12317 45 45 116 
12318 45 45 113 
12319 45 45 117 
12334 45 45 115 
12339 45 45 115 
12341 45 45 112 
12342 45 45 111 
12356 45 45 114 
12357 45 45 111 
12399 45 45 112 
12449 45 45 113 
12450 45 45 113 
12456 45 45 107 
12608 47 47 118 
12614 47 47 123 
12658 47 47 119 
12671 47 47 116 
12761 46 46 113 
12762 46 46 114 
12778 47 47 113 
12795 47 47 112 
12833 46 46 111 
12836 47 47 114 
12838 46 46 117 
12852 42 42 118 
12861 46 46 116 
12878 46 46 117 
12932 46 46 108 
12934 46 46 109 
12941 46 46 115 
12967 46 46 120 
12969 46 46 117 
12970 46 46 115 
12971 47 47 113 
12972 46 46 119 
12973 46 46 117 
13061 42 42 115 
13069 42 42 113 
13078 42 42 114 
13080 42 42 117 
13083 42 42 116 
13085 42 42 116 
13090 42 42 116 
13096 42 42 114 
13097 42 42 122 
13099 42 42 121 
13106 42 42 113 
13116 42 42 115 
13122 42 42 115 
13127 42 42 119 
13145 42 42 115 
13155 42 42 120 
13241 42 42 121 
13283 43 43 114 
14357 27 27 112 
14380 27 27 113 
14393 27 27 113 
14459 27 27 112 
14553 27 27 112 
14554 27 27 111 
14560 27 27 117 
14630 27 27 114 
14654 27 27 108 
14655 27 27 117 
14656 27 27 118 
14671 27 27 120 
15075 29 29 119 
15076 29 29 118 
15092 31 31 121 
15109 31 31 118 
15246 29 29 118 
15281 29 29 112 
15441 21 21 125 
16671 54 54 120 
16694 54 54 127 
16707 54 54 121 
16773 54 54 127 
16867 54 54 127 
16868 54 54 127 
16874 54 54 123 
17389 58 58 127 
17406 62 62 127 
17423 62 62 127 
17560 58 58 124 
17595 58 58 122 
17755 42 42 121 
18985 45 45 112 
19008 45 45 115 
19021 45 45 117 
19087 45 45 120 
19181 45 45 120 
19182 45 45 113 
19188 45 45 113 
