Fri Apr  1 09:37:05 CST 2022

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017a (9.2.0.538062) 64-bit (glnxa64)
                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

audio_files_root =

    './results/test/audio/re_record/20/*.wav'

srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 141275.0 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
slurmstepd: error: *** JOB 141275 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
3511 46 46 67 
3517 46 46 66 
3524 46 46 63 
3526 46 46 65 
3536 46 46 58 
559 40 40 49 
567 40 40 53 
575 40 40 50 
578 40 40 51 
579 40 40 52 
582 40 40 53 
594 40 40 52 
603 40 40 51 
625 40 40 50 
627 40 40 52 
647 40 40 52 
651 40 40 50 
653 40 40 48 
660 40 40 53 
678 40 40 51 
694 40 40 49 
704 40 40 46 
712 40 40 50 
771 40 40 50 
824 40 40 44 
855 40 40 55 
867 40 40 51 
887 40 40 53 
1084 32 32 49 
1119 33 33 44 
2653 56 56 54 
2710 56 56 58 
2723 56 56 59 
2739 44 44 56 
2745 44 44 58 
2770 44 44 59 
2776 44 44 60 
2788 40 40 60 
2794 8 8 57 
2799 4 4 60 
2803 40 40 63 
2822 0 0 57 
2826 36 36 56 
2831 40 40 58 
2837 8 8 53 
2845 8 8 57 
2847 8 8 58 
2855 40 40 59 
2861 40 40 61 
2863 32 32 53 
2876 40 40 59 
2879 40 40 63 
2889 40 40 56 
2901 40 40 55 
2936 8 8 50 
3146 0 0 48 
3395 2 2 55 
3398 2 2 57 
3400 2 2 56 
3401 2 2 57 
3404 2 2 55 
3409 2 2 53 
3410 2 2 60 
3411 2 2 58 
3415 18 18 55 
3418 2 2 55 
3421 2 2 54 
3425 2 2 55 
3430 2 2 58 
3433 2 2 55 
3436 2 2 53 
3441 18 18 56 
3448 18 18 54 
